Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
21758,5916,5,1529935200,16354,
21759,5916,2,1529935200,,
21760,6890,2,1529935200,,
21761,6892,2,1529935200,,
21762,6892,5,1529935200,7800,
21763,3105,2,1529935200,,
21764,6889,3,1529935200,,
21765,6880,2,1529935200,,
21766,6886,2,1529935200,,
21767,6890,2,1529935200,,
21768,6894,10,1529935200,,
21769,6892,2,1529935200,,
21770,6889,16,1529935200,,
21771,6892,16,1529935200,,
21772,1851,2,1529935200,,
21773,6896,5,1529935200,7800,
21774,6897,2,1529935200,,
21775,6897,2,1529935200,,
21776,6898,2,1529935200,,
21777,6899,2,1529935200,,
21778,6743,2,1529935200,,
21779,6743,1,1529935200,,
21780,4456,2,1529935200,,
21781,4860,10,1530021600,,
21782,6891,1,1530021600,,
21783,6903,5,1530021600,16355,
21784,6903,2,1530021600,,
21785,6890,5,1530021600,16535,
21786,6900,1,1530021600,,
21787,5512,2,1530021600,,
21788,6904,3,1530021600,,
21789,6896,3,1530021600,,
21790,4933,5,1530021600,16547,
21791,3494,5,1530021600,16547,
21792,6906,2,1530021600,,
21793,6910,2,1530021600,,
21794,6907,16,1530021600,,
21795,6910,2,1530021600,,
21797,6901,2,1530021600,,
21798,5455,10,1530021600,,
21799,6906,2,1530021600,,
21800,6905,16,1530021600,,
21801,6908,2,1530021600,,
21802,6903,16,1530021600,,
21803,6917,2,1530021600,,
21804,6914,2,1530021600,,
21805,5363,2,1530021600,,
21806,5397,2,1530021600,,
21807,5425,2,1530021600,,
21808,5429,2,1530021600,,
21809,6197,2,1530021600,,
21810,6909,2,1530021600,,
21811,6910,2,1530021600,,
21812,6911,2,1530021600,,
21813,6913,1,1530021600,,
21814,6913,2,1530021600,,
21815,6902,2,1530021600,,
21816,6905,2,1530021600,,
21817,6907,2,1530021600,,
21818,6916,2,1530021600,,
21819,6916,16,1530021600,,
21820,6898,16,1530021600,,
21821,6909,2,1530021600,,
21823,6920,5,1530108000,16561,
21824,6914,15,1530108000,,
21825,6920,2,1530108000,,
21826,6901,1,1530108000,,
21827,6923,16,1530108000,,
21828,6899,16,1530108000,,
21829,4208,2,1530108000,,
21830,6924,2,1530108000,,
21831,6899,2,1530108000,,
21832,6924,2,1530108000,,
21833,6923,2,1530108000,,
21834,6923,2,1530108000,,
21835,6809,3,1530108000,,
21836,6898,2,1530108000,,
21837,6800,5,1530108000,16463,
21838,5013,2,1530108000,,
21839,6924,2,1530108000,,
21840,6928,2,1530108000,,
21841,6921,16,1530108000,,
21842,6927,2,1530108000,,
21843,6917,15,1530108000,,
21844,6917,10,1530108000,,
21845,5011,2,1530108000,,
21846,5011,5,1530108000,15919,
21847,6927,2,1530108000,,
21848,6927,2,1530108000,,
21849,6800,2,1530108000,,
21850,6808,2,1530108000,,
21851,6325,2,1530108000,,
21852,6870,2,1530108000,,
21854,6899,8,1530108000,15935,50
21855,6931,2,1530108000,,
21856,6924,1,1530108000,,
21857,6920,2,1530108000,,
21858,2980,5,1530108000,16565,
21860,2981,2,1530108000,,
21861,4766,2,1530108000,,
21862,2980,2,1530108000,,
21863,5841,2,1530108000,,
21864,5836,2,1530108000,,
21865,6892,2,1530194400,,
21866,6933,2,1530194400,,
21867,6932,2,1530194400,,
21868,5190,2,1530194400,,
21869,5469,2,1530194400,,
21870,6899,2,1530194400,,
21871,6936,2,1530194400,,
21872,6938,2,1530194400,,
21874,6942,2,1530194400,,
21875,6932,2,1530194400,,
21876,4781,3,1530194400,,
21877,6931,2,1530194400,,
21878,6935,1,1530194400,,
